Column fy Mpa,Beam fy Mpa,Columns 1-3 I mm4*10^6,Columns 4-6 I mm4*10^6,Columns 1-3 A mm2,Columns 4-6 A mm2,Beam I mm4*10^6,Spans,Number of floors,Floor height m,Span width m,LLRS tributary width m,Floor mass kg,Facade Load kN/m,PGA g,Magnitude,Distance to fault km,Period s,Max drift mm,Final Dead Load,Final Live Load,soil_class__B,soil_class__C
275,235,16.73,10.33,3877,3142,1119,5,4,4,8,17.5,271342.17,3,0.171,6,17.28,5.178485863,35.05212235,10.5,7,0,1
235,235,229.3,182.6,12437,11253,117.7,3,6,4,8,20,196435.008,4,0.15,6.33,18.96,4.539963993,89.31033111,12,8,0,1
275,235,276.9,0,13347,0,117.7,6,3,4,5,10,218011.86,1,0.171,6,17.28,1.412026294,31.48575316,15,10,0,1
235,235,10.33,6.062,3142,2534,920.8,6,6,3,5,4,43031.34,1,0.283,7.28,19.74,2.490510731,27.25032344,4,10,0,1
355,355,330.9,0,14276,0,920.8,3,2,4,6,2,25419.0816,4,0.171,6,17.28,0.313425712,5.109616557,8,4,0,1
275,275,1119,0,21176,0,83.56,4,3,3,6,6,29220.5232,3,0.15,6.33,18.96,0.395134706,6.58695541,3,3,0,1
235,235,10.33,6.062,3142,2534,231.3,1,5,3.5,4,8,11730.6288,3,0.3,6.6,10.27,2.561486073,67.47923519,4,12,1,0
235,235,54.1,36.92,6434,5383,57.9,4,5,4,7,9,56532.168,0,0.123,6.19,12.9,2.790099247,19.68256354,3,15,0,1
275,235,869.7,0,19754,0,920.8,5,3,3.5,7,2,20781.486,3,0.283,7.28,19.74,0.232732989,6.240614073,2,2,0,1
235,235,3034,2153,28583,26048,1119,1,6,3.5,4,12,35697.6576,4,0.1,6.1,32.84,0.854742779,9.866781144,16,16,1,0
235,235,1119,0,21176,0,337.4,3,2,3,5,2.5,26614.17,0,0.283,7.28,19.74,0.184523563,5.28539434,15,10,0,1
235,235,16.73,0,3877,0,337.4,4,2,3,3,12,95003.4096,3,0.283,7.28,19.74,1.223788047,43.49752788,10,6,0,1
275,275,6.062,0,2534,0,83.56,3,1,3.5,8,12,163674.0864,2,0.283,7.28,19.74,2.290467866,55.10510192,15,3,0,1
355,235,3.492,0,2124,0,920.8,6,2,4,5,16,195619.248,4,0.14,5.9,25.5,4.78965147,12.06754769,12,8,0,1
355,355,450.7,330.9,15898,14276,3.178,5,6,3,3,6,40380.12,4,0.3,6.6,10.27,2.440432032,59.25154462,4,10,1,0
355,275,10.33,0,3142,0,117.7,4,1,3.5,7,6,111008.6208,0,0.283,7.28,19.74,1.301832417,63.05468683,9,3,0,1
235,235,1412,1119,22646,21176,231.3,3,6,4,3,8,51099.2064,0,0.2,6.77,23.99,1.128422451,22.39722949,24,16,0,1
275,275,36.92,0,5383,0,19.43,6,3,3,6,12,96912.288,0,0.283,7.28,19.74,1.755767894,45.82748023,2,10,0,1
355,355,637.2,0,17803,0,671.2,5,1,4,7,4.5,71950.032,0,0.3,6.6,10.27,0.191864134,6.951578877,6,3,1,0
235,235,6447,5538,40005,34685,482,3,6,3.5,8,16,295370.3808,4,0.123,6.19,12.9,1.803413991,9.221250762,24,16,0,1
235,235,1119,0,21176,0,19.43,1,2,3,4,12,19529.2944,3,0.15,6.2,13.91,0.355339266,8.072272327,6,3,1,0
235,235,330.9,276.9,14276,13347,1752,2,5,4,5,7.5,53942.13,1,0.15,6.33,18.96,1.127913942,24.27815279,9,4.5,0,1
275,235,182.6,0,11253,0,5.412,4,1,3,5,1.5,9197.694,1,0.1,6.1,32.84,0.137222576,0.65111954,3,1.5,1,0
235,235,229.3,182.6,12437,11253,13.17,3,4,4,5,9,71644.122,1,0.14,5.9,25.5,3.066949379,10.99520032,6,6,0,1
355,235,450.7,330.9,15898,14276,57.9,6,5,4,8,1.5,45813.0816,0,0.123,6.19,12.9,1.540666538,11.04188338,9,1.5,0,1
355,235,182.6,0,11253,0,162.7,1,1,4,8,16,62552.4768,1,0.1,6.69,35.66,0.601219297,18.39595907,16,8,1,0
235,235,25.1,0,4525,0,38.92,1,3,3.5,5,18,76191.984,4,0.123,6.19,12.9,3.493302795,20.83083914,18,6,0,1
